latitude,longitude,timezone,elevation
-23.6,-70.4,-4,1000
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Temperature,Wind Speed
2000,4,2,1,0,125.00000000000009,125.0,125.0,8.2,1.2
2000,4,2,2,0,125.65000000000008,124.99999999999996,125.65,7.2,2.2
2000,4,2,3,0,147.52500000000006,197.9083333333333,128.19166666666666,6.2,2.6
2000,4,2,4,0,190.5583333333334,281.4333333333333,131.225,5.3,3.0
2000,4,2,5,0,251.7416666666668,369.5583333333332,134.5,-30.0,55.0
2000,4,2,6,0,326.4000000000001,459.9916666666666,137.89166666666668,6.2,3.7
2000,4,2,7,0,408.5583333333334,551.2333333333332,141.34166666666667,9.8,3.5
2000,4,2,8,0,491.8583333333334,642.4083333333333,144.79999999999998,14.1,2.7
2000,4,2,9,0,569.8833333333334,732.6583333333333,148.21666666666667,17.6,0.9
2000,4,2,10,0,636.7500000000001,821.0833333333334,151.54166666666666,20.7,1.6
2000,4,2,11,0,687.3250000000002,905.95,154.68333333333334,22.4,4.3
2000,4,2,12,0,592.8916666666668,858.4083333333333,32.475,23.8,6.4
2000,4,2,13,0,602.1083333333335,914.4666666666666,34.35,23.1,7.2
2000,4,2,14,0,601.4583333333334,914.4666666666666,33.7,21.9,7.3
2000,4,2,15,0,579.5833333333334,841.5583333333333,31.15833333333333,21.2,6.9
2000,4,2,16,0,536.5500000000001,758.0333333333332,28.125,19.9,6.3
2000,4,2,17,0,475.3666666666668,669.9083333333333,24.85,17.5,4.9
2000,4,2,18,0,400.7083333333334,579.475,21.45833333333333,15.4,3.1
2000,4,2,19,0,318.5500000000001,488.2333333333333,18.008333333333336,14.0,1.7
2000,4,2,20,0,235.25000000000009,397.0583333333333,14.550000000000002,13.1,1.2
2000,4,2,21,0,157.22500000000008,306.80833333333334,11.133333333333336,12.3,1.5
2000,4,2,22,0,90.3583333333334,218.3833333333333,7.808333333333334,11.7,1.8
2000,4,2,23,0,39.78333333333341,133.51666666666665,4.666666666666667,11.1,1.8
2000,4,3,0,0,9.21666666666674,56.0583333333333,1.875,10.4,2.0
2000,4,3,1,0,0.0,0.0,0.0,9.5,2.2
2000,4,3,2,0,-0.0,-0.0,-0.0,8.6,2.7
2000,4,3,3,0,21.92500000000008,73.59166666666663,2.533333333333333,8.2,3.2
2000,4,3,4,0,65.16666666666674,157.91666666666663,5.566666666666666,7.2,3.2
2000,4,3,5,0,126.7083333333334,246.92499999999995,8.833333333333334,5.7,3.8
2000,4,3,6,0,201.85000000000005,338.2833333333333,12.225,7.8,3.5
2000,4,3,7,0,284.59166666666675,430.5333333333333,15.666666666666666,11.15,3.3
2000,4,3,8,0,368.53333333333336,522.7916666666666,19.116666666666667,14.5,3.1
2000,4,3,9,0,447.1916666666668,614.2083333333333,22.525,18.4,1.3
2000,4,3,10,0,514.5666666666667,703.8166666666666,25.84166666666667,21.7,1.4
2000,4,3,11,0,565.4833333333335,789.8916666666665,28.98333333333333,23.3,4.0
2000,4,3,12,0,596.1666666666667,868.5666666666666,31.766666666666666,25.4,5.8
2000,4,3,13,0,596.1666666666667,868.5666666666666,31.766666666666666,23.9,7.0
2000,4,3,14,0,596.1666666666667,868.5666666666666,31.766666666666666,23.0,7.4
2000,4,3,15,0,574.2416666666667,794.9749999999999,29.23333333333333,22.0,7.3
2000,4,3,16,0,531.0000000000001,710.65,26.2,20.2,6.8
2000,4,3,17,0,469.4583333333334,621.6416666666665,22.933333333333334,16.9,5.0
2000,4,3,18,0,394.3166666666668,530.2833333333333,19.541666666666668,-14.9,-3.3
2000,4,3,19,0,311.5750000000001,438.0333333333333,16.099999999999998,13.8,2.1
2000,4,3,20,0,227.6333333333334,345.7749999999999,12.65,12.8,1.7
2000,4,3,21,0,148.97500000000008,254.3583333333333,9.241666666666667,11.8,1.5
2000,4,3,22,0,81.60000000000008,164.74999999999997,5.925,11.4,1.3
2000,4,3,23,0,30.683333333333408,78.67499999999997,2.783333333333333,11.0,1.3
2000,4,4,0,0,125.00000000000009,124.99999999999996,125.0,10.4,1.5
2000,4,4,1,0,125.00000000000009,124.99999999999996,125.0,9.4,2.0
2000,4,4,2,0,125.59166666666674,124.99999999999996,125.59166666666664,8.2,2.5
2000,4,4,3,0,147.1333333333334,197.61666666666665,128.125,6.6,2.8
2000,4,4,4,0,189.78333333333345,281.04166666666663,131.15833333333333,5.3,2.7
2000,4,4,5,0,250.53333333333345,369.14166666666665,134.42499999999998,-30.0,55.0
2000,4,4,6,0,324.7250000000001,459.6,137.80833333333334,7.1,3.2
2000,4,4,7,0,406.4583333333334,551.0,141.25,11.1,3.2
2000,4,4,8,0,489.38333333333344,642.425,144.70000000000002,16.1,2.0
2000,4,4,9,0,567.0583333333334,733.0333333333333,148.10833333333332,20.2,0.7
2000,4,4,10,0,633.5000000000001,821.8083333333333,151.42499999999998,23.6,3.3
2000,4,4,11,0,683.5833333333334,906.975,154.56666666666666,26.2,5.7
2000,4,4,12,0,588.5916666666668,859.6166666666667,32.34166666666667,25.3,7.2
2000,4,4,13,0,597.2166666666668,914.75,34.15833333333333,23.8,8.0
2000,4,4,14,0,596.6250000000001,914.75,33.56666666666666,22.1,8.4
2000,4,4,15,0,575.0833333333334,842.1333333333333,31.03333333333333,20.4,8.1
2000,4,4,16,0,532.4333333333335,758.7083333333334,28.0,18.6,7.2
2000,4,4,17,0,471.6833333333334,670.6083333333332,24.73333333333333,15.9,5.3
2000,4,4,18,0,397.4916666666668,580.15,21.35,13.8,3.4
2000,4,4,19,0,315.7583333333334,488.75,17.908333333333335,12.4,2.7
2000,4,4,20,0,232.8333333333334,397.325,14.458333333333334,10.9,2.3
2000,4,4,21,0,155.15833333333342,306.71666666666664,11.050000000000002,9.8,1.7
2000,4,4,22,0,88.71666666666674,217.94166666666663,7.733333333333333,9.1,1.0
2000,4,4,23,0,38.63333333333341,132.77499999999998,4.591666666666666,8.5,1.0
2000,4,5,0,0,8.625000000000076,55.1333333333333,1.8166666666666669,7.5,0.8
2000,4,5,1,0,0.0,0.0,0.0,6.4,1.3
2000,4,5,2,0,0.5666666666667425,0.0,0.5666666666666667,5.0,1.5
2000,4,5,3,0,22.066666666666745,72.92499999999997,3.091666666666667,3.6,1.7
2000,4,5,4,0,64.72500000000008,156.73333333333332,6.116666666666667,5.3,1.7
2000,4,5,5,0,125.55000000000008,245.275,9.383333333333333,6.5,1.8
2000,4,5,6,0,199.87500000000009,336.225,12.766666666666666,9.1,1.6
2000,4,5,7,0,281.8083333333334,428.1833333333333,16.208333333333332,12.4,1.5
2000,4,5,8,0,364.9833333333334,520.2666666666667,19.65,16.3,1.4
2000,4,5,9,0,442.9333333333334,611.625,23.058333333333334,19.5,2.0
2000,4,5,10,0,509.7000000000001,701.3249999999999,26.375,22.2,4.3
2000,4,5,11,0,560.0833333333334,787.6583333333333,29.508333333333336,24.7,6.7
2000,4,5,12,0,590.2750000000001,866.7083333333334,32.28333333333333,23.0,8.1
2000,4,5,13,0,590.2750000000001,866.7083333333334,32.28333333333333,22.7,8.4
2000,4,5,14,0,589.7083333333334,866.7083333333334,31.716666666666665,21.3,8.6
2000,4,5,15,0,568.2083333333334,793.7833333333333,29.191666666666663,20.0,7.9
2000,4,5,16,0,525.5500000000001,709.975,26.166666666666668,18.6,6.8
2000,4,5,17,0,464.7250000000001,621.4333333333333,22.899999999999995,16.3,5.0
2000,4,5,18,0,390.4000000000001,530.4833333333332,19.516666666666666,-14.2,-2.9
2000,4,5,19,0,308.46666666666675,438.5249999999999,16.075,13.0,2.2
2000,4,5,20,0,225.29166666666677,346.4416666666666,12.633333333333333,11.8,1.9
2000,4,5,21,0,147.34166666666675,255.08333333333331,9.225,10.7,1.3
2000,4,5,22,0,80.57500000000009,165.3833333333333,5.908333333333334,10.2,1.1
2000,4,5,23,0,30.191666666666745,79.04999999999997,2.775,9.7,1.6
2000,4,6,0,0,0.0,0.0,0.0,8.9,1.6
2000,4,6,1,0,0.0,0.0,0.0,8.2,2.3
2000,4,6,2,0,0.5500000000000758,0.0,0.5499999999999999,7.4,2.7
2000,4,6,3,0,22.10833333333341,73.64999999999996,3.075,6.2,3.1
2000,4,6,4,0,64.8583333333334,158.01666666666662,6.099999999999999,5.5,3.6
2000,4,6,5,0,189.85833333333343,283.0166666666666,131.1,4.4,4.3
2000,4,6,6,0,264.12500000000006,374.20833333333326,134.48333333333332,6.9,4.1
2000,4,6,7,0,345.95000000000005,466.38333333333327,137.91666666666666,9.9,3.9
2000,4,6,8,0,428.9583333333334,558.6333333333333,141.35,14.2,2.7
2000,4,6,9,0,506.6750000000001,650.1166666666667,144.75,18.2,0.9
2000,4,6,10,0,573.0833333333334,739.8166666666666,148.05,-30.0,40.0
2000,4,6,11,0,623.0250000000001,825.9749999999999,151.16666666666666,24.4,5.1
2000,4,6,12,0,652.7500000000001,904.5916666666666,153.925,23.7,7.0
2000,4,6,13,0,660.9166666666667,959.8416666666666,155.69166666666666,22.8,7.7
2000,4,6,14,0,660.3666666666667,959.8416666666666,155.14166666666668,21.9,8.0
2000,4,6,15,0,638.8083333333334,886.1916666666666,152.61666666666665,20.9,7.5
2000,4,6,16,0,596.0583333333334,801.8249999999998,149.59166666666667,19.4,6.6
2000,4,6,17,0,471.0583333333334,676.8249999999999,24.59166666666667,16.8,4.9
2000,4,6,18,0,396.79166666666674,585.6333333333333,21.20833333333333,14.5,2.9
2000,4,6,19,0,314.96666666666675,493.4583333333333,17.775,13.2,1.6
2000,4,6,20,0,231.9583333333334,401.2083333333333,14.341666666666669,12.0,1.0
2000,4,6,21,0,154.24166666666676,309.725,10.941666666666665,11.3,1.5
2000,4,6,22,0,87.83333333333341,220.025,7.641666666666667,10.6,1.8
2000,4,6,23,0,37.89166666666674,133.86666666666665,4.525,9.9,2.0
2000,4,7,0,0,8.166666666666742,55.249999999999964,1.7666666666666666,8.4,2.6
2000,4,7,1,0,0.0,0.0,0.0,7.4,3.4
2000,4,7,2,0,0.5166666666667424,0.0,0.5166666666666667,6.4,3.5
2000,4,7,3,0,22.01666666666674,73.99999999999996,3.0250000000000004,5.6,3.6
2000,4,7,4,0,64.77500000000008,158.79166666666663,6.041666666666667,4.8,3.6
2000,4,7,5,0,125.72500000000008,248.17499999999995,9.291666666666666,3.5,4.2
2000,4,7,6,0,200.12500000000009,339.8666666666666,12.666666666666666,6.1,4.6
2000,4,7,7,0,281.9750000000001,432.3916666666666,16.1,9.4,4.8
2000,4,7,8,0,364.8666666666668,524.8749999999999,19.541666666666668,14.3,3.9
2000,4,7,9,0,442.3416666666668,616.4583333333333,22.941666666666663,18.3,1.8
2000,4,7,10,0,508.4833333333334,706.2583333333332,26.241666666666664,21.9,0.8
2000,4,7,11,0,558.1333333333334,792.4833333333332,29.35833333333333,23.9,3.7
2000,4,7,12,0,587.5416666666667,871.0999999999999,32.108333333333334,26.1,5.7
2000,4,7,13,0,595.3583333333335,925.3666666666668,33.84166666666667,24.6,6.7
2000,4,7,14,0,594.8416666666668,925.3666666666668,33.325,23.7,7.0
2000,4,7,15,0,573.3416666666668,851.3666666666667,30.816666666666663,22.6,6.7
2000,4,7,16,0,530.5833333333334,766.5749999999999,27.8,20.7,6.1
2000,4,7,17,0,469.63333333333344,677.1916666666666,24.55,17.4,4.4
2000,4,7,18,0,395.2333333333334,585.5,21.175,15.4,2.9
2000,4,7,19,0,313.38333333333344,492.975,17.741666666666664,13.9,1.7
2000,4,7,20,0,230.4916666666668,400.4916666666666,14.3,12.8,1.5
2000,4,7,21,0,153.01666666666677,308.90833333333325,10.9,11.7,1.5
